City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Panzhihua,CN,2021-04-23 17:45:15,26.5851,101.7128,68.49,37,45,2.24
173,San Patricio,US,2021-04-23 17:45:15,28.017,-97.5169,78.01,88,90,17.27
174,Lucapa,AO,2021-04-23 17:45:16,-8.4192,20.7447,69.21,89,94,3.31
175,Tuktoyaktuk,CA,2021-04-23 17:45:16,69.4541,-133.0374,10.4,79,75,8.05
176,Aquiraz,BR,2021-04-23 17:45:16,-3.9014,-38.3911,87.01,74,20,12.66
177,Isla Mujeres,MX,2021-04-23 17:45:17,21.2311,-86.731,86.0,62,75,18.41
178,Enkoping,SE,2021-04-23 17:45:17,59.6361,17.0777,46.4,25,75,16.11
179,Santa Cruz,BO,2021-04-23 17:44:38,-17.8,-63.1667,69.8,100,90,6.91
180,Salihorsk,BY,2021-04-23 17:45:18,52.7876,27.5415,38.26,76,100,10.94
181,Deer Lake,CA,2021-04-23 17:45:18,49.1667,-57.4316,39.2,65,90,12.66
182,Aguimes,ES,2021-04-23 17:45:19,27.9054,-15.4461,71.6,68,75,6.91
183,Geraldton,AU,2021-04-23 17:45:19,-28.7667,114.6,60.8,88,40,6.91
184,Harper,LR,2021-04-23 17:45:20,4.375,-7.7169,83.05,76,100,9.51
185,San Buenaventura,MX,2021-04-23 17:45:20,27.0833,-101.5333,82.4,32,75,4.61
186,Saint George,US,2021-04-23 17:44:03,37.1041,-113.5841,73.0,20,1,12.71
187,Alofi,NU,2021-04-23 17:45:20,-19.0595,-169.9187,71.6,100,11,1.14
188,Mayo,US,2021-04-23 17:45:20,38.8876,-76.5119,62.01,33,1,12.66
189,Atherton,GB,2021-04-23 17:45:21,53.5237,-2.4935,64.4,31,100,5.75
190,San Rafael,AR,2021-04-23 17:43:00,-34.6177,-68.3301,68.85,44,7,8.19
191,Pacific Grove,US,2021-04-23 17:43:23,36.6177,-121.9166,57.2,62,90,4.61
192,Ugoofaaru,MV,2021-04-23 17:45:21,5.6667,73.0,83.64,74,29,8.95
193,Oda,JP,2021-04-23 17:45:22,35.1833,132.5,55.9,74,97,5.7
194,Rivadavia,AR,2021-04-23 17:40:42,-33.1905,-68.4608,69.8,49,40,6.91
195,Dembi Dolo,ET,2021-04-23 17:45:22,8.5333,34.8,62.98,78,80,3.06
196,Upernavik,GL,2021-04-23 17:45:23,72.7868,-56.1549,33.28,70,100,6.46
197,Codrington,AU,2021-04-23 17:45:23,-38.2667,141.9667,53.37,85,100,8.32
